term,p_pos,p_neg,class
surpreendente,0.9608038531805349,0.039196146819465205,positivo
artesanal,0.9528832630098452,0.04711673699015472,positivo
gastronômica,0.9537729435757988,0.046227056424201225,positivo
feito,0.9393361312476154,0.06066386875238459,positivo
macia,0.964729259811227,0.03527074018877298,positivo
mineira,0.966892009013694,0.03310799098630612,positivo
obrigatória,0.9906103286384976,0.009389671361502348,positivo
pequenos,0.8078556263269641,0.1921443736730361,positivo
certa,0.9074889867841408,0.09251101321585904,positivo
frio,0.6947980077476479,0.30520199225235195,positivo
demorado,0.6377856365614799,0.36221436343852015,positivo
barulhento,0.7816291161178509,0.21837088388214906,positivo
adequado,0.9371962616822429,0.06280373831775701,positivo
elegante,0.9503911467277236,0.049608853272276286,positivo
superior,0.8572389063200359,0.14276109367996415,positivo
diversos,0.9610900949586968,0.03890990504130317,positivo
generosas,0.9867831541218638,0.0132168458781362,positivo
menor,0.7461994809047089,0.25380051909529106,positivo
preparada,0.9308637609406772,0.06913623905932277,positivo
interno,0.9453691848058046,0.05463081519419548,positivo
famosa,0.9253215588404684,0.07467844115953158,positivo
natural,0.9192708333333334,0.08072916666666667,positivo
coalho,0.942441744672376,0.05755825532762397,positivo
gentis,0.9615471612757296,0.03845283872427053,positivo
individual,0.895017793594306,0.10498220640569396,positivo
satisfeitos,0.90416585175044,0.09583414824955996,positivo
satisfeito,0.9018612521150592,0.09813874788494076,positivo
incríveis,0.9849357554275588,0.015064244572441291,positivo
lento,0.8142928411075081,0.1857071588924919,positivo
gourmet,0.9113028472821396,0.08869715271786023,positivo
naturais,0.981287970838396,0.018712029161603888,positivo
agradáveis,0.939152820032764,0.060847179967236126,positivo
fininha,0.9860155382907879,0.013984461709211986,positivo
impossível,0.7749474176209394,0.22505258237906053,positivo
último,0.7850150602409639,0.21498493975903613,positivo
total,0.5498240563019834,0.4501759436980166,positivo
belo,0.8839196978731862,0.11608030212681375,positivo
cortês,0.9540059347181008,0.045994065281899116,positivo
educados,0.9319924870871812,0.06800751291281891,positivo
interessantes,0.9527669088876468,0.04723309111235327,positivo
fresca,0.9490619805271908,0.050938019472809314,positivo
segundo,0.7391648212590952,0.2608351787409048,positivo
suficiente,0.8583738054206486,0.1416261945793514,positivo
preciso,0.8560551986676184,0.14394480133238166,positivo
importante,0.9089478859390364,0.0910521140609636,positivo
interna,0.9612361437688948,0.038763856231105134,positivo
brasileira,0.9577680107013186,0.04223198929868145,positivo
meia,0.674963924963925,0.325036075036075,positivo
ágil,0.9808985741189132,0.0191014258810869,positivo
rápidos,0.9801231802911534,0.019876819708846586,positivo
absurdo,0.3868212324588163,0.6131787675411836,negativo
intimista,0.9801744647105473,0.019825535289452814,positivo
correto,0.8585247883917775,0.1414752116082225,positivo
positivo,0.7539739027283511,0.2460260972716489,positivo
disponíveis,0.822967891235175,0.177032108764825,positivo
atendido,0.8786441963801885,0.12135580361981142,positivo
